Run 0
Generation: 1, Final: 114, Best: 90
Generation: 2, Final: 114, Best: 110
Generation: 3, Final: 114, Best: 110
Generation: 4, Final: 114, Best: 110
Generation: 5, Final: 114, Best: 110
Generation: 6, Final: 114, Best: 110
Generation: 7, Final: 114, Best: 112
Generation: 8, Final: 114, Best: 112
Generation: 9, Final: 114, Best: 114


Run 1
Generation: 1, Final: 114, Best: 102
Generation: 2, Final: 114, Best: 102
Generation: 3, Final: 114, Best: 102
Generation: 4, Final: 114, Best: 104
Generation: 5, Final: 114, Best: 113
Generation: 6, Final: 114, Best: 113
Generation: 7, Final: 114, Best: 113
Generation: 8, Final: 114, Best: 113
Generation: 9, Final: 114, Best: 113
Generation: 10, Final: 114, Best: 113
Generation: 11, Final: 114, Best: 114


Run 2
Generation: 1, Final: 114, Best: 97
Generation: 2, Final: 114, Best: 108
Generation: 3, Final: 114, Best: 108
Generation: 4, Final: 114, Best: 113
Generation: 5, Final: 114, Best: 113
Generation: 6, Final: 114, Best: 113
Generation: 7, Final: 114, Best: 113
Generation: 8, Final: 114, Best: 114


Run 3
Generation: 1, Final: 114, Best: 100
Generation: 2, Final: 114, Best: 112
Generation: 3, Final: 114, Best: 112
Generation: 4, Final: 114, Best: 112
Generation: 5, Final: 114, Best: 112
Generation: 6, Final: 114, Best: 112
Generation: 7, Final: 114, Best: 112
Generation: 8, Final: 114, Best: 112
Generation: 9, Final: 114, Best: 112
Generation: 10, Final: 114, Best: 112
Generation: 11, Final: 114, Best: 112
Generation: 12, Final: 114, Best: 112
Generation: 13, Final: 114, Best: 112
Generation: 14, Final: 114, Best: 112
Generation: 15, Final: 114, Best: 112
Generation: 16, Final: 114, Best: 112
Generation: 17, Final: 114, Best: 112
Generation: 18, Final: 114, Best: 112
Generation: 19, Final: 114, Best: 112
Generation: 20, Final: 114, Best: 112
Generation: 21, Final: 114, Best: 112
Generation: 22, Final: 114, Best: 114


Run 4
Generation: 1, Final: 114, Best: 93
Generation: 2, Final: 114, Best: 108
Generation: 3, Final: 114, Best: 108
Generation: 4, Final: 114, Best: 114


Run 5
Generation: 1, Final: 114, Best: 103
Generation: 2, Final: 114, Best: 103
Generation: 3, Final: 114, Best: 112
Generation: 4, Final: 114, Best: 112
Generation: 5, Final: 114, Best: 112
Generation: 6, Final: 114, Best: 112
Generation: 7, Final: 114, Best: 112
Generation: 8, Final: 114, Best: 112
Generation: 9, Final: 114, Best: 112
Generation: 10, Final: 114, Best: 112
Generation: 11, Final: 114, Best: 112
Generation: 12, Final: 114, Best: 112
Generation: 13, Final: 114, Best: 112
Generation: 14, Final: 114, Best: 113
Generation: 15, Final: 114, Best: 113
Generation: 16, Final: 114, Best: 113
Generation: 17, Final: 114, Best: 113
Generation: 18, Final: 114, Best: 113
Generation: 19, Final: 114, Best: 113
Generation: 20, Final: 114, Best: 113
Generation: 21, Final: 114, Best: 113
Generation: 22, Final: 114, Best: 113
Generation: 23, Final: 114, Best: 113
Generation: 24, Final: 114, Best: 113
Generation: 25, Final: 114, Best: 113
Generation: 26, Final: 114, Best: 113
Generation: 27, Final: 114, Best: 113
Generation: 28, Final: 114, Best: 113
Generation: 29, Final: 114, Best: 113
Generation: 30, Final: 114, Best: 113
Generation: 31, Final: 114, Best: 113
Generation: 32, Final: 114, Best: 113
Generation: 33, Final: 114, Best: 113
Generation: 34, Final: 114, Best: 113
Generation: 35, Final: 114, Best: 114


Run 6
Generation: 1, Final: 114, Best: 89
Generation: 2, Final: 114, Best: 106
Generation: 3, Final: 114, Best: 106
Generation: 4, Final: 114, Best: 107
Generation: 5, Final: 114, Best: 107
Generation: 6, Final: 114, Best: 114


Run 7
Generation: 1, Final: 114, Best: 94
Generation: 2, Final: 114, Best: 109
Generation: 3, Final: 114, Best: 110
Generation: 4, Final: 114, Best: 114


Run 8
Generation: 1, Final: 114, Best: 95
Generation: 2, Final: 114, Best: 110
Generation: 3, Final: 114, Best: 110
Generation: 4, Final: 114, Best: 110
Generation: 5, Final: 114, Best: 112
Generation: 6, Final: 114, Best: 114


Run 9
Generation: 1, Final: 114, Best: 78
Generation: 2, Final: 114, Best: 108
Generation: 3, Final: 114, Best: 108
Generation: 4, Final: 114, Best: 108
Generation: 5, Final: 114, Best: 108
Generation: 6, Final: 114, Best: 112
Generation: 7, Final: 114, Best: 112
Generation: 8, Final: 114, Best: 112
Generation: 9, Final: 114, Best: 112
Generation: 10, Final: 114, Best: 112
Generation: 11, Final: 114, Best: 112
Generation: 12, Final: 114, Best: 112
Generation: 13, Final: 114, Best: 112
Generation: 14, Final: 114, Best: 112
Generation: 15, Final: 114, Best: 112
